Title ID,Korean Title,English Title,Genre,Content Format,Views,Likes,Rating,Rating Count,Created At,Primary Tone,Secondary Tones,Confidence (%),Total Score,Text Analyzed (chars),Fields Used,All Tone Scores (JSON),Description,Tagline,Tags,Pitch
260215ca-969a-420e-846a-bf15f6137034,시히트왕국정복기,The Sichit Kingdom,Romance; Fantasy,,0,0,0,0,2025-07-31T03:19:06.4027+00:00,romantic,whimsical,50,4,137,title_name_kr; title_name_en; description; genre,"{""primary"":{""romantic"":1,""quirky"":1},""secondary"":{""romantic"":1,""whimsical"":1}}","The story of Mia Sicht, a princess who faces her fate in a world on the verge of destruction!",,,
7b34fe73-22e0-4ebe-a21e-38b8efe93b6a,코코스튜,Cocostew,Gag; School,,0,0,0,0,2025-07-31T03:19:06.4027+00:00,adventurous,realistic; playful,100,7,266,title_name_kr; title_name_en; description; genre,"{""primary"":{""adventurous"":2,""funny"":1},""secondary"":{""realistic"":2,""playful"":2}}","There's a high school in South Korea filled with palm trees?!
The tumultuous growth journey of real high school girls, both intoxicated and exhausted by palm trees, is captured in four images.
Coco Stew will bring fun, laughter, and empathy!",,,
096b1f5c-f46b-474c-83a0-4cd32f9a722e,당신의 아내를 접수합니다,I accept your wife,Adult; NTR,,0,0,0,0,2025-07-31T03:19:06.4027+00:00,romantic,,70,4,347,title_name_kr; title_name_en; description; genre,"{""primary"":{""romantic"":2},""secondary"":{""romantic"":2}}","A husband who enjoys a double life, suspecting and enraged by his wife, yet fantasizing about her leaving her for another man, is suddenly caught in a text message, forcing him to make a choice.

Is this dangerous feeling truly love?
The truth gradually emerges before a desire that defies comprehension.",,,
bd688163-0a61-4e67-a125-95644e5be942,세렌디피티,serendipity,Drama; Growth,,0,0,0,0,2025-07-31T03:19:06.4027+00:00,heart_warming,light; cozy; dramatic,100,8,300,title_name_kr; title_name_en; description; genre,"{""primary"":{""heart_warming"":2,""intense"":1},""secondary"":{""light"":2,""cozy"":2,""dramatic"":1}}","Su-ah was born color-blind, but when she finds someone she likes, she gains the ability to see all the colors associated with that person. Eun-woo, also color-blind, sees color through Su-ah, and through each other, their black-and-white world is filled with warm hues.",,,
eda7e1d9-211a-4c9e-bd26-8eda72f58030,영블러드,Young Blood,BL,,0,0,0,0,2025-07-31T03:19:06.4027+00:00,intense,dramatic; romantic,100,12,712,title_name_kr; title_name_en; description; genre,"{""primary"":{""intense"":4,""romantic"":2},""secondary"":{""dramatic"":4,""romantic"":2}}","During high school, Yeon-woo's mother, unable to bear the burden of her family, remarried and became Woo-hyuk's stepmother.
Yeon-woo, struggling financially, unable to afford even cup ramen or kimbap, turns to her mother for help, but all she receives is a sharply drawn line between them.
Yeon-woo, now a stranger to her mother, uses Woo-hyuk's blushing face to swear revenge on them.
As adults, Woo-hyuk and Yeon-woo reunite through a friend.
Yeon-woo's persistent efforts lead to repeated encounters, and a drunken Woo-hyuk forces them to have a romantic night together.
Yeon-woo calmly threatens Woo-hyuk with a photo she'd taken, intending to exact revenge on the wounds she'd inflicted.",,,
3cce946a-e45b-4c36-84b4-fc45b5ccec0e,사랑도 튀기면 맛있나요,Is love delicious fried as well?,Dailylife; romance; familycomedy; healing,,0,0,0,0,2025-07-31T03:19:06.4027+00:00,romantic,,70,12,189,title_name_kr; title_name_en; description; genre,"{""primary"":{""romantic"":6},""secondary"":{""romantic"":6}}","Let's forget the hardships with chicken! The love stories of the three siblings, each made with chicken.",,,
d5d4bd2b-7772-4905-8fbe-bcb21991491b,나 홀로 섬에,Alone on the island,Boy; Thriller,,0,0,0,0,2025-07-31T03:19:06.4027+00:00,suspenseful,playful,70,5,427,title_name_kr; title_name_en; description; genre,"{""primary"":{""suspenseful"":3},""secondary"":{""playful"":2}}","Geo and his family go camping on an island.
On what seemed like a fun-filled camping day, a storm forces the family to abandon their campsite.
The storm forces them to settle down at the only inhabited pension.
Soon after, ominous incidents unfold.
Everyone here is suspicious!
In this eerie pension...
On this terrifying uninhabited island...
Will Geo and his family make it out alive?",,,
93519f7f-5859-48c7-9130-1c829b07b382,무식아,Moosick,gags; episodes,,0,0,0,0,2025-07-31T03:19:06.4027+00:00,funny,comedic,70,9,200,title_name_kr; title_name_en; description; genre,"{""primary"":{""funny"":7},""secondary"":{""comedic"":2}}","A slapstick comedy about the newly adult protagonist Han Moo-sik, his family, and those around him!

The episodic gag comic that formed the basis for ""The Laughing Gag Club.""",,,
4ca035cf-4cb7-40d0-85a2-e454ce98abcd,마법사,Magician,gag; fantasy,,0,0,0,0,2025-07-31T03:19:06.4027+00:00,funny,whimsical,50,3,208,title_name_kr; title_name_en; description; genre,"{""primary"":{""funny"":1,""quirky"":1},""secondary"":{""whimsical"":1}}","If a man stays a virgin for 26 years, he becomes a wizard!? The story of the protagonist, a punk who stayed a virgin for 26 years, who becomes a wizard by making the legend come true!",,,
e712de2c-1ce2-4b96-8a16-edecd9b51906,지구의 주인과 시녀가 된 나,Owner And Me,fantasy,,0,0,0,0,2025-07-31T03:19:06.4027+00:00,quirky,whimsical,70,2,271,title_name_kr; title_name_en; description; genre,"{""primary"":{""quirky"":1},""secondary"":{""whimsical"":1}}","Self-proclaimed ""Master of the Earth,"" he's a global troublemaker. He can enter any place, pretend to be a landlord, and even use his telekinesis to wreck cars. But no one—not the police, not the military, not the prison—can stop him!",,,
